,Year,Season,Avg_Tmax,Avg_Tmean,Total_Rainfall
113,2007,Winter,9.753333333333332,6.874444444444445,193.5
114,2008,Autumn,10.74,7.993333333333334,58.8
115,2008,Spring,12.098360655737705,8.28032786885246,133.2
116,2008,Winter,9.525274725274725,6.173626373626373,125.6
117,2009,Autumn,14.322950819672132,11.440983606557376,187.4
118,2009,Spring,12.938709677419356,8.306451612903226,30.0
119,2009,Winter,7.124444444444445,4.195555555555556,226.6
120,2010,Autumn,8.633333333333333,6.546666666666667,32.2
121,2010,Spring,13.545901639344262,9.044262295081968,63.0
122,2010,Winter,5.173333333333334,2.4844444444444442,173.6
123,2011,Autumn,15.624590163934426,12.336065573770492,47.4
124,2011,Spring,16.160655737704918,11.067213114754098,17.0
125,2011,Winter,9.096666666666668,6.453333333333333,182.6
126,2012,Autumn,14.858241758241757,11.351648351648352,201.4
127,2012,Spring,15.471739130434784,10.93695652173913,140.0
128,2012,Summer,21.433695652173913,17.25,219.0
129,2012,Winter,8.954945054945055,5.71978021978022,147.0
130,2013,Autumn,14.868333333333334,11.498333333333333,99.60000000000001
131,2013,Spring,12.345652173913043,8.405434782608696,128.6
132,2013,Summer,23.936956521739127,18.767391304347825,69.4
133,2013,Winter,7.848888888888888,5.085555555555556,181.1
134,2014,Autumn,17.057142857142857,13.721978021978023,215.2
135,2014,Spring,16.21195652173913,11.664130434782608,170.4
136,2014,Summer,23.172826086956523,18.32608695652174,188.4
137,2014,Winter,9.923333333333334,6.812222222222222,290.0
138,2015,Autumn,15.906593406593407,12.565934065934066,138.0
139,2015,Spring,15.169565217391304,10.720652173913043,81.8
140,2015,Summer,22.575824175824177,17.88241758241758,200.8
141,2015,Winter,10.171111111111111,7.222222222222222,141.4
142,2016,Autumn,16.078021978021976,12.483516483516484,150.20000000000002
143,2016,Spring,14.42608695652174,10.193478260869565,180.4
144,2016,Summer,23.26195652173913,18.547826086956523,131.0
145,2016,Winter,9.75164835164835,6.397802197802198,129.0
146,2017,Autumn,15.645054945054946,12.215384615384615,102.4
147,2017,Spring,16.770652173913046,12.123913043478263,95.2
148,2017,Summer,23.105494505494505,18.623076923076923,195.0
149,2017,Winter,8.714444444444444,5.664444444444444,179.6
150,2018,Spring,10.077419354838709,6.396774193548388,81.2
151,2018,Winter,8.138983050847457,5.276271186440678,87.0
152,2019,Summer,21.67,16.893333333333334,81.8
153,2019,Winter,10.180645161290323,7.067741935483871,89.6
